name,letters,numerology_total,length,pronounce_score,linguistic_flags,meaning_story,domain_com,domain_in,handle_x,handle_instagram,handle_linkedin,mca_similarity_hit,tm_hit_class_35_36_41_42,distinctiveness_score,overall_score,scoring_notes
soang,S(3)+O(7)+A(1)+N(5)+G(3),19,5,10,,Signifies wisdom and prosperity for advisors,parked,taken,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
sanog,S(3)+A(1)+N(5)+O(7)+G(3),19,5,10,,Embodies trust and innovation in financial advisory,available,available,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
melua,M(4)+E(5)+L(3)+U(6)+A(1),19,5,10,,Symbolizes clarity and growth in investment guidance,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
jeoin,J(1)+E(5)+O(7)+I(1)+N(5),19,5,10,,Signifies wisdom and prosperity for advisors,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
joein,J(1)+O(7)+E(5)+I(1)+N(5),19,5,10,,Symbolizes clarity and growth in investment guidance,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
joien,J(1)+O(7)+I(1)+E(5)+N(5),19,5,10,,Embodies trust and innovation in financial advisory,available,taken,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
miotra,M(4)+I(1)+O(7)+T(4)+R(2)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
udahar,U(6)+D(4)+A(1)+H(5)+A(1)+R(2),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
uidhar,U(6)+I(1)+D(4)+H(5)+A(1)+R(2),19,6,9,,Symbolizes clarity and growth in investment guidance,parked,taken,free,free,free,,none,9,9,0.35*9 + 0.20*9 + 0.20*7 + 0.15*10 + 0.10*10
udihar,U(6)+D(4)+I(1)+H(5)+A(1)+R(2),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,taken,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
ujajwal,U(6)+J(1)+A(1)+J(1)+W(6)+A(1)+L(3),19,7,10,,Represents excellence in financial technology solutions,parked,taken,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
ujjawal,U(6)+J(1)+J(1)+A(1)+W(6)+A(1)+L(3),19,7,10,,Represents excellence in financial technology solutions,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
ujijwal,U(6)+J(1)+I(1)+J(1)+W(6)+A(1)+L(3),19,7,10,,Signifies wisdom and prosperity for advisors,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
ujjwail,U(6)+J(1)+J(1)+W(6)+A(1)+I(1)+L(3),19,7,8,,Represents excellence in financial technology solutions,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*8 + 0.20*10 + 0.15*7 + 0.10*10
meadad,M(4)+E(5)+A(1)+D(4)+A(1)+D(4),19,6,10,,Represents excellence in financial technology solutions,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
naavin,N(5)+A(1)+A(1)+V(6)+I(1)+N(5),19,6,10,,Signifies wisdom and prosperity for advisors,parked,taken,free,free,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*10 + 0.10*10
navian,N(5)+A(1)+V(6)+I(1)+A(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,available,taken,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
niavin,N(5)+I(1)+A(1)+V(6)+I(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
semart,S(3)+E(5)+M(4)+A(1)+R(2)+T(4),19,6,10,,Represents excellence in financial technology solutions,taken,available,taken,free,free,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
smaret,S(3)+M(4)+A(1)+R(2)+E(5)+T(4),19,6,10,,Conveys reliability and success in wealth management,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
quiuck,Q(1)+U(6)+I(1)+U(6)+C(3)+K(2),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
palain,P(8)+A(1)+L(3)+A(1)+I(1)+N(5),19,6,10,,Represents excellence in financial technology solutions,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
plaain,P(8)+L(3)+A(1)+A(1)+I(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
plaian,P(8)+L(3)+A(1)+I(1)+A(1)+N(5),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
pilain,P(8)+I(1)+L(3)+A(1)+I(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,available,available,free,taken,free,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
pliain,P(8)+L(3)+I(1)+A(1)+I(1)+N(5),19,6,10,,Embodies trust and innovation in financial advisory,available,parked,taken,taken,free,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
waive,W(6)+A(1)+I(1)+V(6)+E(5),19,5,10,,Embodies trust and innovation in financial advisory,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
tiede,T(4)+I(1)+E(5)+D(4)+E(5),19,5,10,,Symbolizes clarity and growth in investment guidance,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
tidee,T(4)+I(1)+D(4)+E(5)+E(5),19,5,10,,Represents excellence in financial technology solutions,taken,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
boeam,B(2)+O(7)+E(5)+A(1)+M(4),19,5,10,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
beoam,B(2)+E(5)+O(7)+A(1)+M(4),19,5,10,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
luead,L(3)+U(6)+E(5)+A(1)+D(4),19,5,10,,Symbolizes clarity and growth in investment guidance,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
torack,T(4)+O(7)+R(2)+A(1)+C(3)+K(2),19,6,10,,Symbolizes clarity and growth in investment guidance,available,available,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*7 + 0.10*10
troack,T(4)+R(2)+O(7)+A(1)+C(3)+K(2),19,6,10,,Conveys reliability and success in wealth management,available,parked,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
traock,T(4)+R(2)+A(1)+O(7)+C(3)+K(2),19,6,10,,Conveys reliability and success in wealth management,taken,available,taken,free,taken,true,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
tracok,T(4)+R(2)+A(1)+C(3)+O(7)+K(2),19,6,10,,Signifies wisdom and prosperity for advisors,available,taken,taken,free,taken,true,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
muega,M(4)+U(6)+E(5)+G(3)+A(1),19,5,10,,Signifies wisdom and prosperity for advisors,available,taken,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
meuga,M(4)+E(5)+U(6)+G(3)+A(1),19,5,10,,Signifies wisdom and prosperity for advisors,taken,parked,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
megua,M(4)+E(5)+G(3)+U(6)+A(1),19,5,10,,Signifies wisdom and prosperity for advisors,available,taken,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
eliate,E(5)+L(3)+I(1)+A(1)+T(4)+E(5),19,6,10,,Signifies wisdom and prosperity for advisors,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
elitae,E(5)+L(3)+I(1)+T(4)+A(1)+E(5),19,6,10,,Conveys reliability and success in wealth management,taken,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
eilite,E(5)+I(1)+L(3)+I(1)+T(4)+E(5),19,6,10,,Represents excellence in financial technology solutions,taken,available,taken,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
elitie,E(5)+L(3)+I(1)+T(4)+I(1)+E(5),19,6,10,,Conveys reliability and success in wealth management,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
gyanfy,G(3)+Y(1)+A(1)+N(5)+F(8)+Y(1),19,6,5,,Represents knowledge and insight for investment excellence,available,available,free,free,taken,,none,10,9,0.35*10 + 0.20*5 + 0.20*10 + 0.15*7 + 0.10*10
varddii,V(6)+A(1)+R(2)+D(4)+D(4)+I(1)+I(1),19,7,8,,Symbolizes clarity and growth in investment guidance,parked,taken,free,free,free,,none,9,9,0.35*9 + 0.20*8 + 0.20*7 + 0.15*10 + 0.10*10
safalry,S(3)+A(1)+F(8)+A(1)+L(3)+R(2)+Y(1),19,7,8,,Represents success-oriented financial advisory platform,available,available,taken,free,taken,,close,10,9,0.35*10 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
jeetla,J(1)+E(5)+E(5)+T(4)+L(3)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,parked,available,taken,free,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
siddhaa,S(3)+I(1)+D(4)+D(4)+H(5)+A(1)+A(1),19,7,7,,Signifies wisdom and prosperity for advisors,taken,available,free,taken,free,,exact,9,9,0.35*9 + 0.20*7 + 0.20*10 + 0.15*7 + 0.10*10
wisela,W(6)+I(1)+S(3)+E(5)+L(3)+A(1),19,6,10,,Represents intelligent financial decision making,parked,available,free,taken,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
wisesa,W(6)+I(1)+S(3)+E(5)+S(3)+A(1),19,6,10,,Represents intelligent financial decision making,taken,parked,taken,free,free,,none,10,9,0.35*10 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
wisely,W(6)+I(1)+S(3)+E(5)+L(3)+Y(1),19,6,10,,Represents intelligent financial decision making,taken,available,taken,taken,taken,,close,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
wisesy,W(6)+I(1)+S(3)+E(5)+S(3)+Y(1),19,6,10,,Represents intelligent financial decision making,taken,available,taken,free,taken,,none,10,9,0.35*10 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
keenaa,K(2)+E(5)+E(5)+N(5)+A(1)+A(1),19,6,10,,Conveys reliability and success in wealth management,taken,available,free,taken,taken,,close,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
keenii,K(2)+E(5)+E(5)+N(5)+I(1)+I(1),19,6,10,,Conveys reliability and success in wealth management,parked,available,taken,free,taken,,exact,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
neoaa,N(5)+E(5)+O(7)+A(1)+A(1),19,5,10,,Represents excellence in financial technology solutions,available,taken,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
edgeaa,E(5)+D(4)+G(3)+E(5)+A(1)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*7 + 0.15*7 + 0.10*10
edgeii,E(5)+D(4)+G(3)+E(5)+I(1)+I(1),19,6,10,,Embodies trust and innovation in financial advisory,parked,available,free,taken,taken,,none,9,9,0.35*9 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
bodha,B(2)+O(7)+D(4)+H(5)+A(1),19,5,9,,Represents enlightened understanding of financial markets,available,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*9 + 0.20*10 + 0.15*0 + 0.10*10
vijnah,V(6)+I(1)+J(1)+N(5)+A(1)+H(5),19,6,10,,Signifies wisdom and prosperity for advisors,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
vijnix,V(6)+I(1)+J(1)+N(5)+I(1)+X(5),19,6,10,,Conveys reliability and success in wealth management,taken,available,taken,taken,taken,,exact,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
riddhra,R(2)+I(1)+D(4)+D(4)+H(5)+R(2)+A(1),19,7,5,,Represents excellence in financial technology solutions,parked,taken,free,free,taken,true,none,9,8,0.35*9 + 0.20*5 + 0.20*7 + 0.15*7 + 0.10*10
vardday,V(6)+A(1)+R(2)+D(4)+D(4)+A(1)+Y(1),19,7,8,,Conveys reliability and success in wealth management,taken,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*0 + 0.10*10
guruay,G(3)+U(6)+R(2)+U(6)+A(1)+Y(1),19,6,10,,Conveys reliability and success in wealth management,parked,taken,taken,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
guruya,G(3)+U(6)+R(2)+U(6)+Y(1)+A(1),19,6,10,,Embodies trust and innovation in financial advisory,taken,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
patha,P(8)+A(1)+T(4)+H(5)+A(1),19,5,9,,Signifies wisdom and prosperity for advisors,available,taken,free,taken,taken,,none,9,8,0.35*9 + 0.20*9 + 0.20*10 + 0.15*3 + 0.10*10
darshas,D(4)+A(1)+R(2)+S(3)+H(5)+A(1)+S(3),19,7,8,,Symbolizes clarity and growth in investment guidance,parked,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*0 + 0.10*10
shaktira,S(3)+H(5)+A(1)+K(2)+T(4)+I(1)+R(2)+A(1),19,8,10,,Signifies wisdom and prosperity for advisors,available,taken,taken,taken,free,,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
satyex,S(3)+A(1)+T(4)+Y(1)+E(5)+X(5),19,6,10,,Represents truthful and ethical financial guidance,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
rritex,R(2)+R(2)+I(1)+T(4)+E(5)+X(5),19,6,10,,Symbolizes clarity and growth in investment guidance,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
dharmra,D(4)+H(5)+A(1)+R(2)+M(4)+R(2)+A(1),19,7,7,,Conveys reliability and success in wealth management,available,parked,taken,taken,free,,none,9,8,0.35*9 + 0.20*7 + 0.20*10 + 0.15*3 + 0.10*10
sanger,S(3)+A(1)+N(5)+G(3)+E(5)+R(2),19,6,10,,Represents excellence in financial technology solutions,parked,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
bandhay,B(2)+A(1)+N(5)+D(4)+H(5)+A(1)+Y(1),19,7,7,,Signifies wisdom and prosperity for advisors,parked,parked,taken,free,free,,none,9,8,0.35*9 + 0.20*7 + 0.20*7 + 0.15*7 + 0.10*10
mitraer,M(4)+I(1)+T(4)+R(2)+A(1)+E(5)+R(2),19,7,10,,Represents trusted friendship in financial journey,parked,parked,taken,free,taken,true,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
jeetas,J(1)+E(5)+E(5)+T(4)+A(1)+S(3),19,6,10,,Conveys reliability and success in wealth management,available,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
siddhay,S(3)+I(1)+D(4)+D(4)+H(5)+A(1)+Y(1),19,7,7,,Conveys reliability and success in wealth management,taken,available,free,taken,taken,,none,9,8,0.35*9 + 0.20*7 + 0.20*10 + 0.15*3 + 0.10*10
phalay,P(8)+H(5)+A(1)+L(3)+A(1)+Y(1),19,6,9,,Signifies wisdom and prosperity for advisors,parked,available,taken,free,taken,,exact,9,8,0.35*9 + 0.20*9 + 0.20*10 + 0.15*3 + 0.10*10
charhra,C(3)+H(5)+A(1)+R(2)+H(5)+R(2)+A(1),19,7,8,,Symbolizes clarity and growth in investment guidance,available,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*0 + 0.10*10
nirmalar,N(5)+I(1)+R(2)+M(4)+A(1)+L(3)+A(1)+R(2),19,8,10,,Symbolizes clarity and growth in investment guidance,parked,taken,taken,free,taken,,none,8,8,0.35*8 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
nirmalra,N(5)+I(1)+R(2)+M(4)+A(1)+L(3)+R(2)+A(1),19,8,10,,Signifies wisdom and prosperity for advisors,available,taken,taken,free,taken,true,none,8,8,0.35*8 + 0.20*10 + 0.20*10 + 0.15*3 + 0.10*10
samthay,S(3)+A(1)+M(4)+T(4)+H(5)+A(1)+Y(1),19,7,7,,Embodies trust and innovation in financial advisory,available,taken,free,taken,taken,,none,9,8,0.35*9 + 0.20*7 + 0.20*10 + 0.15*3 + 0.10*10
samthya,S(3)+A(1)+M(4)+T(4)+H(5)+Y(1)+A(1),19,7,5,,Symbolizes clarity and growth in investment guidance,available,available,taken,free,taken,,none,9,8,0.35*9 + 0.20*5 + 0.20*10 + 0.15*3 + 0.10*10
rakshix,R(2)+A(1)+K(2)+S(3)+H(5)+I(1)+X(5),19,7,8,,Symbolizes clarity and growth in investment guidance,taken,available,taken,free,taken,,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
avishar,A(1)+V(6)+I(1)+S(3)+H(5)+A(1)+R(2),19,7,10,,Signifies wisdom and prosperity for advisors,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
avishra,A(1)+V(6)+I(1)+S(3)+H(5)+R(2)+A(1),19,7,8,,Symbolizes clarity and growth in investment guidance,available,available,taken,free,taken,true,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
khojas,K(2)+H(5)+O(7)+J(1)+A(1)+S(3),19,6,9,,Represents vital strength in market challenges,available,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*9 + 0.20*10 + 0.15*0 + 0.10*10
umang,U(6)+M(4)+A(1)+N(5)+G(3),19,5,10,,Symbolizes clarity and growth in investment guidance,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
hausla,H(5)+A(1)+U(6)+S(3)+L(3)+A(1),19,6,10,,Conveys reliability and success in wealth management,parked,parked,taken,free,taken,true,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
sharp,S(3)+H(5)+A(1)+R(2)+P(8),19,5,7,,Symbolizes clarity and growth in investment guidance,taken,available,taken,taken,taken,,exact,9,8,0.35*9 + 0.20*7 + 0.20*10 + 0.15*0 + 0.10*10
plaina,P(8)+L(3)+A(1)+I(1)+N(5)+A(1),19,6,10,,Conveys reliability and success in wealth management,available,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
crispay,C(3)+R(2)+I(1)+S(3)+P(8)+A(1)+Y(1),19,7,10,,Conveys reliability and success in wealth management,parked,taken,taken,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
crispya,C(3)+R(2)+I(1)+S(3)+P(8)+Y(1)+A(1),19,7,8,,Conveys reliability and success in wealth management,available,available,free,taken,taken,,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
newar,N(5)+E(5)+W(6)+A(1)+R(2),19,5,10,,Conveys reliability and success in wealth management,available,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
neoya,N(5)+E(5)+O(7)+Y(1)+A(1),19,5,10,,Conveys reliability and success in wealth management,taken,parked,taken,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
next,N(5)+E(5)+X(5)+T(4),19,4,7,,Represents excellence in financial technology solutions,taken,parked,free,free,taken,,none,8,8,0.35*8 + 0.20*7 + 0.20*7 + 0.15*7 + 0.10*10
edgeya,E(5)+D(4)+G(3)+E(5)+Y(1)+A(1),19,6,10,,Conveys reliability and success in wealth management,parked,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*0 + 0.10*10
peakar,P(8)+E(5)+A(1)+K(2)+A(1)+R(2),19,6,10,,Conveys reliability and success in wealth management,available,taken,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
peakra,P(8)+E(5)+A(1)+K(2)+R(2)+A(1),19,6,10,,Conveys reliability and success in wealth management,available,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
glidear,G(3)+L(3)+I(1)+D(4)+E(5)+A(1)+R(2),19,7,10,,Symbolizes clarity and growth in investment guidance,taken,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
beamer,B(2)+E(5)+A(1)+M(4)+E(5)+R(2),19,6,10,,Represents guiding light for investment clarity,parked,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
glow,G(3)+L(3)+O(7)+W(6),19,4,7,,Embodies trust and innovation in financial advisory,taken,parked,free,free,taken,,none,8,8,0.35*8 + 0.20*7 + 0.20*7 + 0.15*7 + 0.10*10
leadah,L(3)+E(5)+A(1)+D(4)+A(1)+H(5),19,6,10,,Represents excellence in financial technology solutions,taken,taken,free,taken,free,,none,9,8,0.35*9 + 0.20*10 + 0.20*2 + 0.15*7 + 0.10*10
leadix,L(3)+E(5)+A(1)+D(4)+I(1)+X(5),19,6,10,,Represents excellence in financial technology solutions,parked,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*0 + 0.10*10
hubah,H(5)+U(6)+B(2)+A(1)+H(5),19,5,10,,Embodies trust and innovation in financial advisory,taken,parked,taken,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
huban,H(5)+U(6)+B(2)+A(1)+N(5),19,5,10,,Conveys reliability and success in wealth management,taken,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
proay,P(8)+R(2)+O(7)+A(1)+Y(1),19,5,10,,Signifies wisdom and prosperity for advisors,taken,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
proya,P(8)+R(2)+O(7)+Y(1)+A(1),19,5,10,,Signifies wisdom and prosperity for advisors,taken,taken,free,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*2 + 0.15*7 + 0.10*10
ultraar,U(6)+L(3)+T(4)+R(2)+A(1)+A(1)+R(2),19,7,8,,Represents excellence in financial technology solutions,available,available,free,taken,taken,,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
ultrara,U(6)+L(3)+T(4)+R(2)+A(1)+R(2)+A(1),19,7,8,,Conveys reliability and success in wealth management,parked,available,taken,free,taken,,exact,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
golday,G(3)+O(7)+L(3)+D(4)+A(1)+Y(1),19,6,10,,Embodies trust and innovation in financial advisory,parked,available,taken,taken,taken,,close,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
goldya,G(3)+O(7)+L(3)+D(4)+Y(1)+A(1),19,6,8,,Signifies wisdom and prosperity for advisors,taken,parked,free,free,taken,true,none,9,8,0.35*9 + 0.20*8 + 0.20*7 + 0.15*7 + 0.10*10
visang,V(6)+I(1)+S(3)+A(1)+N(5)+G(3),19,6,10,,Represents excellence in financial technology solutions,available,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
vimitra,V(6)+I(1)+M(4)+I(1)+T(4)+R(2)+A(1),19,7,10,,Represents trusted friendship in financial journey,parked,parked,taken,taken,free,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
vibeam,V(6)+I(1)+B(2)+E(5)+A(1)+M(4),19,6,10,,Represents guiding light for investment clarity,available,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
samshri,S(3)+A(1)+M(4)+S(3)+H(5)+R(2)+I(1),19,7,6,,Represents prosperity and abundance in advisory services,available,available,taken,free,taken,,none,9,8,0.35*9 + 0.20*6 + 0.20*10 + 0.15*3 + 0.10*10
samniti,S(3)+A(1)+M(4)+N(5)+I(1)+T(4)+I(1),19,7,10,,Represents excellence in financial technology solutions,parked,parked,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*0 + 0.10*10
samlabh,S(3)+A(1)+M(4)+L(3)+A(1)+B(2)+H(5),19,7,9,,Conveys reliability and success in wealth management,taken,parked,taken,free,free,,none,9,8,0.35*9 + 0.20*9 + 0.20*7 + 0.15*7 + 0.10*10
utrrit,U(6)+T(4)+R(2)+R(2)+I(1)+T(4),19,6,8,,Represents excellence in financial technology solutions,available,available,taken,taken,free,,none,9,8,0.35*9 + 0.20*8 + 0.20*10 + 0.15*3 + 0.10*10
prasat,P(8)+R(2)+A(1)+S(3)+A(1)+T(4),19,6,10,,Represents truthful and ethical financial guidance,taken,available,taken,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*10 + 0.15*0 + 0.10*10
pranyay,P(8)+R(2)+A(1)+N(5)+Y(1)+A(1)+Y(1),19,7,10,,Symbolizes clarity and growth in investment guidance,parked,taken,taken,free,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
pranaya,P(8)+R(2)+A(1)+N(5)+A(1)+Y(1)+A(1),19,7,10,,Represents innovative approach to traditional finance,taken,parked,free,taken,taken,,none,9,8,0.35*9 + 0.20*10 + 0.20*7 + 0.15*3 + 0.10*10
